orderId,itemId,quantity,price
qxiVq1B6DNSjqAwukpUVgT,981,Paper,1,41.8
1iHo3WW43g7scgWC4Mm7uF,556,Pen,1,65.34
nx5ujTWtGGZewydtCfCKkn,727,Paper,1,16.64
uBnkE52Tt3qG5CF3E8eCRi,833,Socks,1,7.74
bBAiA2J61g7gjhDZefEyz6,272,Paper,1,35.63
x8Fz19iuGeWWjxYo8bYfb5,925,Bread,1,3.88
kPNTp37dMrQKa4BLNwySP2,947,Shirt,1,47.28
8Go6zvsjJb2ybkKj1xLTm5,371,Paper,1,16.38
wHp9P85dZCiSo3wGWeY2pf,445,Paper,1,46.09
jVBZeb1jiYQ37uo3zJJ2hE,657,Tompouce,1,54.01
3m3C7PSPnUWAtUHKBemXp1,767,Shirt,1,17.99
mTeqWUq4MdwTgwW5L9ZW3Z,846,Bread,1,11
vUpuegpvQMuPxNzupQNW8H,758,Towel,1,5.11
ju25nzUgg2e7jaSjNimdrx,552,Bread,1,9.8
5iXAbwQKZ7wA28mrK2HUVA,864,Socks,1,33.23
hyYCX2RG3NbD4bm6UrGaUb,443,Paper,1,63.36
oRCvS4WyQLJFHT2ixCTUBq,198,Pen,1,40.06
uGxk1PMJJJ48LhMmHPf4Ks,297,Pen,1,25.55
6SN5ZvVJFojC5KTs34UbLh,309,Socks,1,61.7
cfVbn1SuBVZMJkPT5Gtzvw,148,Towel,1,78.6
gxdAQQpArDFbR3JeF5r5H6,553,Paper,1,65.26
eHGLHrHgUZLipvEic8NsuQ,433,Pen,1,66.76
rZ5oT4YgdV1Q74PSufpWE1,314,Towel,1,13.56
szT1J7UeT39pg63RchCm5c,826,Socks,1,65.91
ajDyJZx8F3NzKWfTLhmqYg,470,Socks,1,12.37
97i9Wq8kZXnv3A5WrGiXqW,344,Towel,1,59.66
gtWnXjLDQfDmnLHdnEnePd,327,Socks,1,48.59
5J4pAYbyVQCGTo7Y4E4GQe,955,Curtain,1,64.39
jsRcDwJMmuaPJBbaUWx8W6,250,Towel,1,4.96
sBxrZtsUFcxj3VZMsZJsLV,430,Tompouce,1,35.88
dPUjmFGSau6D4HptKiebS1,146,Pen,1,18.38
qjSFoZEH5rfuoUTWyzF3FR,922,Book,1,78.13
pKHFjbqK1mRfivwgLpi3v4,410,Curtain,1,24.93
3j6eQ9fwEAkeSfYwqFF43d,229,Shirt,1,17.64
oDFeGzFkaqxghF9pUXLEUR,199,Pen,1,45.13
p6F2JxxHJX3hssnNUpeHrX,251,Shirt,1,21.85
mVauHu8jWWKWMCHz8nN948,285,Towel,1,56.05
2S5ZDcrFMyvYW5hxX9gG1s,429,Pen,1,7.24
d8vaRGzEmV6opP6Pk3Zmku,645,Socks,1,35.39
jRX1434DY2rjAb2ZT3qFCn,789,Book,1,68
oXyDiF6iiVFkHWRbZU5pMR,829,Tompouce,1,36.1
qH2t5DNmwo1cf8wrBPwbjv,332,Curtain,1,31.83
mmdYHn24iCLQvpw4vZbc4f,894,Pen,1,80.69
g7tNEQj1cbw7mzwtjRQJTd,632,Shirt,1,77.72
gLZoCeTmG22PqXyfa1T7UM,141,Socks,1,6.86
rvNvwLtMyf26kincYa94Av,473,Pen,1,5.51
qsxXWC7bB8ebQ3hEnYFH6Q,98,Paper,1,29.76
s1W8MgNDSzWqnxNhJn3NJJ,823,Towel,1,62.18
4BE76EmRsVDXrVZwTjK9MG,690,Curtain,1,19.52
qQGy4z7PXC54Lj1uJ3FQN1,577,Pen,1,3.3
g8JYQ3JT8R9Grez3hAzTxc,530,Paper,1,41.11
2UCRfBQ5XCS8aZpJA2xeDT,432,Bread,1,64.43
eKHGEhesY222YHHNCfWxJB,930,Bread,1,10.76
w1EYFLeFjHfsTESVwWmkdc,171,Book,1,43.44
hAxAKZSFvDjSwWzQa7nrdg,231,Bread,1,58.46
dRuctJQbP7nhyMx8mv8re6,223,Tompouce,1,4.4
wcvXQS33WXEPX66UrP33SM,789,Paper,1,4.86
7dNmX222skYiWReYtu8qqX,948,Tompouce,1,73.86
ukhdafKD1BBmbXGvdpXARZ,377,Socks,1,17.57
6PWjNh7P2HVxwKsNE3WedW,106,Book,1,4.92
7nJMwskgqSwvMfSbmpDsBV,767,Towel,1,22.26
rrcc8GCWREqAXuWhVReeGQ,977,Tompouce,1,24.32
kqW5qZ5Vz9h9PxRhB5YrVQ,393,Bread,1,31.88
o182UsupsShSw7n1qpoDhS,326,Book,1,13.02
vrPaq8nTgpcauGCqMnMCpn,852,Towel,1,62.72
aaf2ieSDusCVZXSMz9Addi,198,Book,1,36.34
9YtDmHmytyNFdERHjWkxzq,751,Socks,1,13.23
5aLYwjG883YsRP1WzGoWid,786,Tompouce,1,76.95
w2qFpX3xDzr4GVu52iG7cH,306,Shirt,1,61.29
naY9g8fKg8e7AV9rqwZWVz,877,Curtain,1,51.25
sFhcTjEqHZ4Jsr139bt2x9,766,Tompouce,1,38.79
wCzN4pfe7fag1CYyKcH2u6,613,Tompouce,1,79.35
rZmrV5qpRnEVweGhVtoGi3,645,Curtain,1,8.96
a1rPcq3ZDCUjecxEzfbV4R,290,Tompouce,1,17.52
r6meVcstQnCGHbc7WVvtgF,509,Book,1,2.78
k6KhcmKnrQrn9QGMfGQjUq,110,Towel,1,50.66
5ZeVtdrcJ7yAvhZti2QVjc,799,Shirt,1,67.86
2d2qu1Y3gmP65gzTrw55en,688,Pen,1,40.76
9iVkU1ozJTNvjQvfgzaSJ1,399,Tompouce,1,3.05
u9aJXqkdDdRiYQy4FAguFg,949,Paper,1,60.37
kBaMLA8yUFepjpb5E8Ddty,764,Socks,1,82.87
p5SCQS5w98ECnTvrc5QE38,516,Towel,1,6.25
aGLLBVwd4C4ELU1mdLJjWZ,733,Pen,1,74.45
hTkaeUUsLLVEoxvL9wBSYm,549,Bread,1,5.33
bRt2arBWvhko2X7CsS8mRy,191,Shirt,1,29.34
vmGDQuxavEdC82yURCyAK2,698,Pen,1,18.6
7zF2D4RoarNXFzdfPpZSty,719,Socks,1,14.54
n87ceQqDe75S7jmQmhxWaE,880,Pen,1,59.2
7t4DMZGYei6X4Ja1ywtWn6,432,Tompouce,1,48.32
fmsMe55ps1dhyE1UZ3W5A8,774,Shirt,1,35.35
2wTzY5TU7SQsjTZ5Kt4zTH,530,Shirt,1,12.59
2oqbGEQFRcDFCg9Ep8crVR,407,Tompouce,1,17.29
5aaDxKKEJiapeC3KhMSBnY,655,Tompouce,1,52.79
5ZXvD7ZeGZwaRp3W69iaWZ,780,Tompouce,1,49.54
9zbhYFCTv8gpTu7w7S6iQ3,710,Shirt,1,8.27
6JwGCbxtKwUDfPNQpEA8bx,477,Curtain,1,58.41
viks3zxqH3Ybrty534Mmpw,757,Socks,1,27.37
1UXjWuJZonTaqZrfGN2YBN,820,Curtain,1,43.57
9DtY43Bd3vfbWBbBM6vwwS,979,Pen,1,49.67
j7Cp1bGBVnEppJpjUMKD5g,248,Paper,1,63.98
c3yE1wa2YK88pyKLzj8532,221,Socks,1,54.93
4jVmSHuywAsLuk9sCAgMxQ,457,Book,1,73.88
tVjh9YukH2VKGuW17qYpBP,853,Bread,1,51.58
s8AhLfbToWohysLmXCedPy,418,Curtain,1,55.61
pV8QqVfRLExNfDpeRGCNj9,877,Book,1,26.21
8xjvsksYaDZGVvjnoGEfcF,481,Book,1,48.33
gEBchcyEWWcrU2S477UfaB,868,Pen,1,37.27
amZCFDcxeFUQ3jHEYLYNFi,384,Socks,1,57.05
pH1A5ymPwHxgx3RCDnR5Ez,817,Pen,1,21.17
wQ4LQZp79HzCnuJfVCsMu5,736,Bread,1,52.89
4gpbcSwhYYCsziEdSNqkjH,407,Towel,1,64.27
oXYbeeJejcsDBAVfkKTDvn,613,Tompouce,1,36.57
9EjTnhP3VU6iGXsGWCXzEU,629,Towel,1,14.73
9MWpdBdrt92PrqMiW8M4xf,283,Tompouce,1,35.56
8Uk84T6FnLqfLVepig6Ne6,133,Book,1,53.97
w1bVQoArfjxgupH4hXFWPy,730,Paper,1,15.8
wXVghx89JKT2YEkwVCLE9t,810,Socks,1,14.41
5cPkkzV8TJUDmHiKvCZU8g,643,Curtain,1,49.92
vieEHSiSngRjnK7gCtUrax,182,Book,1,57.99
vj7rXwLaEmLA54frmjraew,810,Curtain,1,16.1
hD6KxsDhXaNj6oVvueSNxu,185,Shirt,1,68.98
ngcT9tDB1WDtxvjsZrvpPM,990,Curtain,1,79.92
6qPK5mEr2e5qD3Qru55oCC,738,Socks,1,23.65
735eBENwsbZD5Yfs1kQsAL,459,Bread,1,27.49
iB1Cd2iBY4VXYjDNeU2Cx3,570,Curtain,1,49.27
vPNkJCuTXkFcfqt9Noa48M,860,Pen,1,12.09
59DuJBh7d5TPY3VoRSedYg,541,Pen,1,73.38
14e5jWAikxQriuLzthveG5,676,Paper,1,29.84
rP65hVvn41TtJV4owVUCxQ,798,Socks,1,69.25
on3ecFFbr7MbxqHwnjVY6w,852,Bread,1,18.09
hMAzrmAJ17C1RuzgaL5ZRx,497,Tompouce,1,52.41
rA7dsAv4UxCbxcCD4vwfZn,846,Socks,1,13.31
riwTChuBYWKa1cH8CC2cm9,977,Pen,1,64.35
cbDFCepKrsije8To671s4D,821,Pen,1,57.1
pvYDS82XMQGhqSfsoMcHMU,834,Socks,1,49.21
b2K51RkmCBKiqZa4grfNTk,197,Book,1,23.82
7mLDKVdfE333BSuZauuqXc,340,Tompouce,1,9.76
sPJyM2jhuokfesTmA7Bom3,546,Shirt,1,60.18
dVVBniRVJEoJZJZBW3Tuhj,792,Towel,1,74.95
w3i2Q2pS3gnUWTZSXxHF1u,880,Pen,1,5.33
89s3wtUd1jC54h19rvCq1S,144,Curtain,1,38.46
1m8TfzpLBqb5vyyDKb79W4,941,Bread,1,2.35
xuwRxbFS8HmPHjDv663fCT,653,Paper,1,11.22
adjH2X7p5Sq8S7m8BLzq8U,912,Socks,1,7.99
26CZpHYDgN6BGEMPxZ2UUr,504,Shirt,1,53.18
mkwisFbZTWKmdLPX6eBRmC,855,Pen,1,34.21
77CQsHiiy2LBDK896rN458,222,Tompouce,1,69.57
hiYb7Jcu3AcdF9EG1h9nwr,263,Socks,1,56.49
vfmGLdXwzsKRMJy3CW2yC9,322,Socks,1,40.06
a1LkUMjSiV89qaTz3KDSwR,825,Tompouce,1,45.01
ooVDmikEbkRUX31Cemid3j,113,Shirt,1,46.45
wJrB3brdH4rf2Mmr8fDtVB,125,Bread,1,52.28
kb4VW4ctK4TGDuFSpN7DM3,686,Tompouce,1,60.6
km9nUUVJYd6w1aLAD6eN4h,981,Shirt,1,49.1
vhDQZx36ez7xtvRRPFAgeH,123,Paper,1,69.78
dphaQHCK9MwrkJvzAfDzKX,956,Book,1,30.9
sSJVnhSemivmvPbvLRpEgA,356,Curtain,1,11.41
3UrZ8529CjrcLM3TFbCenh,583,Tompouce,1,61.27
nQUFYPMDwmoF5esppnt7go,170,Curtain,1,16.22
iaHm6Z9aye4UJCrfwHkG1i,969,Tompouce,1,5.78
gVuZwmCxzyPrY7LK3Xsddx,486,Socks,1,51.02
uykD7SGPFfjibQMoFkYCMq,302,Pen,1,14.32
orpyScyeJ9d5nF6DEUe6Yz,242,Towel,1,10.53
nitEXJ7CzyoGTUQMMRB1Wi,398,Shirt,1,7.63
ieZzAZFLzLxg7EramYZdyd,126,Socks,1,57.2
6E1dV5aanm4QGpKkyccckK,153,Socks,1,20.71
qYoDFMo3cqLDiL26YtqUPm,982,Bread,1,77.45
g78xZQWNLrq5fCHSwUuHVa,678,Towel,1,70.63
wDZPaG2QGMXrSzuNYgwKFF,850,Shirt,1,76.85
rfbjZP7xrWaqGMpDb4thz8,509,Bread,1,16.8
6zijypxrAEUuJ5vnSFHjo7,452,Pen,1,5.68
o1mtZrJcGe6J1SmLbJLwha,458,Shirt,1,2.49
qmyErgiFLM7XYE7fw4Pu5H,469,Socks,1,26.73
vX5Xmj5nLrHi7i3qkyfNUq,887,Tompouce,1,31.74
7CdzC1HvEi8hFWdMKKQZnd,682,Shirt,1,72.42
pXQsP8bF7on4Kvs561TGyx,270,Tompouce,1,59.48
wbGxEDiss53xJrSmPCuw26,870,Bread,1,61.34
oHPshvWWYR69P3FnN9eK29,697,Book,1,22.96
9pwhphjm5thrcM5WqhejKa,241,Socks,1,64.19
rL2DZ6dvroK6VpQQ43MfqJ,226,Shirt,1,10.63
qBqpFLThr7sA3cVDcHk1Pe,675,Tompouce,1,8.46
rDrPLs3Bqo2eosKxCDMB5V,424,Towel,1,36.11
33X14psXch1heWsmnXdQMA,852,Paper,1,15.88
n4bLyAzGXpxc8akUEqNhMg,931,Socks,1,10.68
f7P7MZaHVx3z5LUtL7v1cT,479,Shirt,1,81.82
cgokfS2Xb7oxfcoH1iWCWT,306,Shirt,1,26.24
jLCEeQHKwfcGWD5hDQEU7N,898,Paper,1,15.55
11EJgXjagFgKSRzDghRgea,338,Pen,1,57.31
p4pKNUCju9pS9h3Ufev4NS,562,Paper,1,71.69
qof1MwT86QP5vvLBCnUpSx,548,Tompouce,1,34.46
7m6bViuQxrkkvfyoYArxru,346,Bread,1,41.65
w88WKWHXF4kkBU8FN9V6dQ,433,Towel,1,6.89
9S3VQ5UhEbYbhVeCzSAABN,430,Book,1,39.13
dApJRQBkcwh7SnffFxxaf3,329,Bread,1,44.77
4f5LoiApzoZiSzvRB92gDG,122,Book,1,47.1
h6RzoRJR8VKYWAtzQk7fWU,421,Bread,1,16.97
2S4DGC13W1CmBVd7dVHV2T,890,Bread,1,56.37
mHvyVDyxpD5PfAJgeSetnk,646,Socks,1,29.44
xkvayTVP36jKWWeXSGRwrP,336,Pen,1,61.09
xrP97dp1NhP7SVxPPk64pj,706,Curtain,1,64.84
nBh6nTnSR1cEnWnmv8MpYB,195,Shirt,1,41.32
v716mUvqnXXfZGekGpEyu5,885,Towel,1,45.12
6s151tq1CrQUuPofNugJzP,397,Pen,1,58.01
9vVDwKzqedh29saY7NAymD,300,Paper,1,17.98
vshFbFveR7n5CwEzyfFzAK,278,Shirt,1,38.13
wN5xF9vfHzAooyrMRoG3u3,496,Tompouce,1,8.24
bmuJArWxB4ny8Wn9VT9mUr,587,Paper,1,61.97
qqV1iMeZsNUVWBZ5ZzE1Gs,531,Socks,1,64.69
nKoHSpQf1xKQGgcfy6rh6d,670,Curtain,1,28.18
nW9T19tDCDr5GaBZDb7RHh,438,Towel,1,46.37
wuP6RTvu6E2WmqPM4xtCrd,292,Paper,1,6.9
mhHdf4vbuNmyCQnyQSsoii,121,Bread,1,28.02
v3h5L6p9y7uBV83L5qcZnF,644,Curtain,1,66.85
qsfLeaqFxmrirpbwisBQ9A,592,Book,1,46.11
39inyaSqnbuaWJA5qzCg4G,568,Shirt,1,15.63
mHYU6ozwsdB8Aqkpk9X86p,196,Towel,1,30.47
rJgP4wbSWTMg8ssGkRff2t,291,Pen,1,81.36
6cTWGjGjh4pWdZvHWbgPmT,994,Paper,1,64.31
6jA9kE4d8NmVUvRvwbj7o5,992,Paper,1,75.02
tjm7s1YfHsBfGwqEfQqwuW,441,Towel,1,1.97
2aFyShLD39C8XtR9DVDaFV,565,Shirt,1,60.8
kgMJQrY2jyTMP6FTKasmgx,633,Socks,1,13.16
fwSVi4MeYDK5rkynv6u8mD,630,Socks,1,36.54
7ABibPNhUxFu4uJnShNFKf,109,Book,1,25.8
bX81deSp6sNTmzUqE7ioSB,497,Towel,1,6.68
7MLrWQ6M9Se2SmGik79WyP,105,Pen,1,41.61
purNWqDkbfjuAXHV27xxH6,136,Paper,1,15.73
tR8SLWq9JD3mer6T1nCT4b,941,Curtain,1,53.94
cFuBACVSXwtJnYZ4UgiWqj,658,Curtain,1,79.83
oKH68BCQifhWqd2798yVuL,129,Paper,1,32.95
kHLpsdt1Wvnw1QuAQk7eeH,584,Tompouce,1,19.14
gtTqdFwGBVSPUC5yE8RC6h,187,Shirt,1,47.17
sAw9WkUqdzTqXVbbssQUqV,619,Paper,1,79.25
4pUVkh28F1Z4bi2ZUWW61c,267,Curtain,1,53.05
p8xyNspTan8nqgRSZH7K61,246,Socks,1,57.63
cCi8aXjdTRAxKeNTnN6N8L,821,Shirt,1,49.16
jXuXj9JedBYWLzs8JxuN25,787,Book,1,15.72
45D2KeMExhp5d23MMebuiy,847,Pen,1,8.04
idrx2ndUEbxw2i33PqAUBn,345,Tompouce,1,43.24
bC5gXm18L37j1v1hYL97mX,476,Bread,1,82.52
tyPb3SAHUaryHZyaNs3Ljm,386,Socks,1,15.67
kBf1hazSqNSdMWEzaPgSaB,407,Towel,1,56.16
i2sVa5UX44Lp6sWUJvyoAT,631,Curtain,1,5.42
pbmgEmbanXxZKLxC3ANwJ5,729,Curtain,1,7.55
n54kuBPWDnsVbwjDsBBidD,688,Socks,1,27.27
uVY8E1YTsJL3GTFCad53FJ,373,Shirt,1,45.65
8SHa7na18SUUG47AV1TT5q,894,Curtain,1,13.63
2tbKRvaiawx2tCPaCpvjgR,725,Book,1,63.04
a3fHyVXAz6vAh7w2bYQN8a,419,Tompouce,1,4.25
rPPNMA7CzaAuwgToMzTMkf,904,Shirt,1,79.86
dwzVFtcJ4V6Vh3ULUDW6da,274,Book,1,58.71
jdiELHgqxJi4eDomvrxGVe,529,Shirt,1,5.88
2uGYTRgaQRbsfxtjZ9KVH5,780,Socks,1,20.75
61Cv3uyUQkBbYDZ9mah69g,851,Socks,1,45.97
k8prrkhmL3GF4EodVyqPvK,817,Curtain,1,5.9
9xztsiKeY99rANfmBPRJhi,492,Bread,1,14.36
4o5XeeYjrj6zz8C988WhqA,203,Tompouce,1,29.8
b5oPqUavgwoAtV7rtEKANq,963,Paper,1,82.27
x1v6NRim7L9cXmSx389CCK,973,Curtain,1,74.56
4jSWLj8Trd9bMnCZov5L3v,413,Paper,1,9.09
cevHTCETFSVyZPZnjp44pH,284,Book,1,34.33
5tnhW8G1FyAvFeWuswfsdF,318,Shirt,1,43.75
abrCrhsxJouKjnjLoZoaqb,707,Pen,1,5.23
iNZSuFKRcBxHJvyt8VxKqj,968,Socks,1,72.26
cgKPxXZseah7KjgWm2M6wZ,935,Book,1,80.21
u4UWPSGFd7hvFcDWPduxVL,479,Towel,1,39.82
7FaF3xwjLJHD3Gp2LFDFiq,669,Bread,1,40.95
59gUaeBz3x7JxvRhELQ1FU,865,Paper,1,61.17
uq24gg8yNEWkNDRPXHHgbN,780,Bread,1,74.24
hevz54gUHNmhkmxkxADGLU,740,Curtain,1,12.49
wu82aFrMi8Pv2bajtLVie5,900,Curtain,1,36.97
oVehdDFrHKktoUZBPSxq3J,465,Towel,1,20.7
x21wJc5kJC5kmHdjKdNUH3,347,Curtain,1,79.44
5rVKkvJkK5FxKCfNRRyACu,618,Pen,1,78.75
aVMYujzWbN12smwjfCcZuM,944,Curtain,1,19.83
fWEJLDNKZuszJZKTyPLq4x,453,Pen,1,26.36
eg8mA3NCtsdHVuYRudURLy,585,Bread,1,53.82
keJFmu3adcWEaFNJZXtCH7,440,Towel,1,64.27
wwfSKtbzCb6WejdexFdWXd,359,Curtain,1,77.53
xw5ccoUywUAdPSoo3hx5hH,892,Book,1,58.08
9VV1WRgoDJQYz5HM5NsUoQ,407,Paper,1,61.22
mjja7TBRrF2hnkeXi6UGRn,234,Tompouce,1,62.21
5M1zTg1VKpBhkasHprAFTG,178,Bread,1,35.3
oXPmKjns6w45XWa69FxWwG,357,Paper,1,41.6
8jZ1R74d35YHoUoz6WFZQ7,411,Bread,1,82.46
w4oKxEvSLjgDHLSecC67PJ,504,Curtain,1,80.84
rrjXsnXq1n7dUYJkChCRe3,909,Tompouce,1,58.31
v3XMu7WDhpwxmqibZkZay7,965,Tompouce,1,81.39
u6qmBGcHuaKw5hjsEKsxeb,196,Tompouce,1,53.47
1Fv5QrSAN3fJnxoo4JmvDB,144,Towel,1,11.32
nM6Y5JwfiTJ1uzyR7sJcUH,844,Towel,1,36.96
gWs9LchKtdZmV4bMYJqgE2,281,Shirt,1,32.11
qTsAEcdMPgK4cR3h4Z6GRL,474,Paper,1,35.14
fHU7TaBqEuYiFoorCpCmLm,452,Curtain,1,27.33
kFTRptTwKQgqETydAoUouP,207,Bread,1,66.7
sW5gWN1MutZ3HNGK8f6zmm,823,Shirt,1,17.93
kygsFUWW7mheru2mKst713,107,Bread,1,8.02
f6BvaxN8crSGyC3YjbW7QT,808,Curtain,1,20.64
i8P9jUeupnbhkzMdM7G721,733,Bread,1,40.29
3tpLu6Z5NcsJQmZv1K9FU1,633,Towel,1,17.38
hUqsBZwoRrZzwnf9c2Tgdm,242,Shirt,1,53.8
mL9gu5YnTGh9g5bFKf6ej8,686,Book,1,50.37
mvtnXHKaQ56TLwMSyzFPPs,520,Towel,1,8.88
rThLwEQWBQUyTxddfc4fC6,203,Bread,1,70.36
tta3A32rQf7PLvP8aryhs7,467,Book,1,61.56
21aEdcDPZhivGHmfUgeKLx,580,Book,1,11.02
pguxXsrZErDHZtffoewL8V,765,Shirt,1,12.22
tzLasd6nCSGGBX25kgvKy1,948,Paper,1,12.91
o4LTUJcrPqP8rm1MKJ4qHF,887,Socks,1,51.99
oQig8t8mBDXexqKc2cfPNK,640,Curtain,1,82.55
25N6aeLoDXgcyLb15yJRXb,770,Tompouce,1,78.71
byVVnHASydWUKdcoKz6uft,220,Towel,1,81.75
s5bbJaAqhrbx1QspJCPPc3,628,Tompouce,1,6.63
rkGGuCKBcBV974cz58ibe5,158,Book,1,23.69
6zXrTpnNgkQ3Y2vTLG39d5,504,Socks,1,55.09
9SWJ9k7CGahw4SdJY8X9uh,667,Shirt,1,40.35
83Yg4FfUWQacVUq7bRmktm,235,Book,1,69.4
tqGqS8t36gspx6fcyYzaup,618,Pen,1,16.93
eY5FQK9nPT9wGXSATL9cQJ,163,Socks,1,10.92
aLyFQP9KshXL5Ws5HS5dZF,176,Socks,1,12.26
dbrtJLE2jn8PRHcNybWnNK,522,Towel,1,74.21
r3LpUT7JdRXThgVTXgNsc3,211,Book,1,34.42
eLQwPQbQaLXamVGAPFjtj1,546,Pen,1,63.48
dpzXHQR6mnsStMwfFWcibU,925,Curtain,1,52.08
q3FSecdSU4C1TXjBEPohN3,551,Tompouce,1,4.85
hKDUsioM9hAAEAibCKRToR,255,Curtain,1,43.66
bH7abSyMCcNfUgg19YyULP,963,Socks,1,55.3
6vCJCALodrcJzYrrvHusff,117,Book,1,40.76
dECXTWigBRqEKSd3b7kBLL,774,Shirt,1,60.89
64ZjWAfifycY9rJQZHfDvv,768,Socks,1,2.53
41jT5VnW52Q48ErqJgMhfE,725,Curtain,1,8.99
6soXmVCV6wk7NFC9mj7WWu,252,Curtain,1,47.88
i3uwyPPPtosTagEXocuY1M,894,Pen,1,39.57
hP9Rwps48mq31nmMgpyw5B,658,Book,1,6.19
ox2kb9Xrrk6yUFFfcngc7S,834,Towel,1,55.85
ckRLeBrPqKEjAbVb8hXgwP,728,Shirt,1,81.94
oD9FGV1WWqapNtSfKhp8VD,716,Curtain,1,11.03
mCCT6LoWmnU33ap9dT659r,440,Book,1,78.26
gUpehZHq9srEQCHjbb3yhe,567,Towel,1,70.88
pCD5UCPeF2ocSNiy8PxHGv,885,Bread,1,23.93
m47R1M973vdrE3LfnFXMKZ,209,Bread,1,78.24
3WYEAxJSi8kk9C2ytuP6W3,566,Curtain,1,49.15
6r5No7xV8soPvpNMWMaD1u,162,Tompouce,1,64.43
rpXTEwpkWxA2F8Yrx19kmD,525,Tompouce,1,20.79
bZNg6JbuaiidLdyPCdsQf6,505,Bread,1,30.89
6EdVikb2uzXKYLixzAjd3Q,726,Pen,1,55.52
vaAACch3yErv2EhtTRc16P,879,Paper,1,6.79
ujtEW4AwLquEtyrFGS1iHR,579,Towel,1,75.83
eKCQ3Jq9nTC4VAzfRCXcz5,376,Bread,1,34.27
3eF2hP4NJ8eAaCR2Zdxus7,516,Curtain,1,24.73
qJLb1uGj5w7e49i58UsmJX,988,Towel,1,19.62
iPeKoyVTmsGEkietZ2wsYz,328,Bread,1,52.6
cAuWRQbbeUaNzfXMvW9wHP,766,Socks,1,17.32
